review_id,product_id,customer,location,rating,comment
b4e098cb-5d88-44ad-bef4-f0ac527e7176,b4e098cb-5d88-44ad-bef4-f0ac527e7176,apple123000,Vancouver,2,Very good product
37e710c0-649c-4f10-96d4-ede9d6e86726,37e710c0-649c-4f10-96d4-ede9d6e86726,lwe_s,Toronto,6,It is ok
f0ff649b-fb60-406d-b8f0-ac7da8a55011,f0ff649b-fb60-406d-b8f0-ac7da8a55011,emsl02,Vancouver,7,It is ok
7b86963c-02a6-4437-9af5-650e57a44d2d,7b86963c-02a6-4437-9af5-650e57a44d2d,yingyi888,Calgary,7,Bought
96c76d7f-320c-4296-9c34-a3438bd2a04d,96c76d7f-320c-4296-9c34-a3438bd2a04d,yingyi888,Calgary,7,Great
625455ea-13d8-49a5-af28-b09caa2050d0,625455ea-13d8-49a5-af28-b09caa2050d0,lwe_s,Montreal,0,Great
8c1cfc19-c759-4f22-99fd-b2b87203ce06,8c1cfc19-c759-4f22-99fd-b2b87203ce06,emsl02,Alberta,2,Great
f3bb3724-ae28-4168-bc1b-815519342508,f3bb3724-ae28-4168-bc1b-815519342508,yingyi888,Toronto,9,Very good product
22580b3e-7eb1-4433-8b5a-3956a3a2f41a,22580b3e-7eb1-4433-8b5a-3956a3a2f41a,lwe_s,Vancouver,7,Very good product
a304cd94-f14d-4ce2-9cd2-8e4e8aee6212,a304cd94-f14d-4ce2-9cd2-8e4e8aee6212,lwe_s,Alberta,4,Good
c49a7a69-0469-42bb-8b05-c2314be0225e,c49a7a69-0469-42bb-8b05-c2314be0225e,emsl02,Vancouver,7,Very good product
e7420c35-b81e-4042-8508-0a86b940a90c,e7420c35-b81e-4042-8508-0a86b940a90c,apple123000,Alberta,0,Great
03c0842d-75c5-4efb-818b-4954131a1c15,03c0842d-75c5-4efb-818b-4954131a1c15,yingyi888,Alberta,6,Do not buy it
d12880ea-23e5-4253-a23b-fc6cd5b36756,d12880ea-23e5-4253-a23b-fc6cd5b36756,emsl02,Toronto,7,Bought
44e7d8da-a79b-41c1-a35b-a4e348715385,44e7d8da-a79b-41c1-a35b-a4e348715385,xxxxx111,Vancouver,8,Do not buy it
8eabe259-475c-4448-b5bd-ae559434f9b5,8eabe259-475c-4448-b5bd-ae559434f9b5,yingyi888,Calgary,6,Very good product
