product_id,seller,price,onsale,description
fabc3a9a-89b9-48b6-a588-5ba6dae116c5,GoldenHarbor Emporium,376,false,Compact and energy-efficient
283781d9-c36b-4c44-b299-34d091bf7420,ElysianEssentials Sellers,866,true,This eco-friendly and reusable bottle
3fa07efc-3df7-446c-8241-017b6cb90615,VelvetBoutique Finds,315,false,Compact and energy-efficient
585716ef-c63c-475f-ae86-5121b6340903,SwiftTrade Emporium,797,true,Crystal-clear sound
ddd4d489-9cd2-48d2-8ca2-84636e640e33,UrbanGlow,68,false,This eco-friendly and reusable bottle
e5d4a80f-5cb6-4692-96a1-a4fc248d93a3,VelvetBoutique Finds,485,true,Compact and energy-efficient
411b7409-5d72-403b-9da2-54813eaaf1d1,ElysianEssentials Sellers,487,true,Versatile and portable
05371fac-f7e7-4c7a-96f2-5b02e52a03c7,VelvetBoutique Finds,407,true,Versatile and portable
fc340e4d-560e-41f1-bd69-2c302498c512,QuantumGoods Co.,411,false,This eco-friendly and reusable bottle
ede1cb94-481c-4696-afac-26aeb101091b,GoldenHarbor Emporium,381,true,Crystal-clear sound
47d3fe99-57e9-4228-95fa-261f5ad014e3,GoldenHarbor Emporium,221,true,Stay connected and monitor your health
21246cd6-3086-4c56-b9ac-1c47d083769b,ElysianEssentials Sellers,924,false,Crystal-clear sound
d5dce061-2609-433d-a501-27751a72bb20,QuantumGoods Co.,264,true,Enjoy the soothing scents
54cbf617-3199-4b84-8444-d25dfe6d9940,NovaCraft Retail,717,true,Compact and energy-efficient
c7154f21-4bb0-414a-ac91-12b62f7be0d4,UrbanGlow,765,false,Stay connected and monitor your health
214ba06e-267f-4075-aa32-039f8b878082,UrbanGlow,386,false,Compact and energy-efficient
9fdbfaae-4160-4063-b4b9-f72bbd082937,ElysianEssentials Sellers,941,true,Provides the perfect surface
133bbf61-2e01-4efb-abdb-ece326d7c21a,NovaCraft Retail,230,true,Stay connected and monitor your health
0f9b58c7-fcfb-4826-837f-305f05df3d4e,UrbanGlow,641,false,Provides the perfect surface
d6dfe69c-c292-47b2-9b6e-faec392a303c,UrbanGlow,78,true,Stay connected and monitor your health
361f5df8-d446-45ea-87c5-3341e7f6fe35,QuantumGoods Co.,847,false,Enjoy the soothing scents
